,greedy,classic
0,17918.490635785583,16919.606349105976
1,19527.87813587167,18273.94238997113
2,19769.746888105277,18448.904023319054
3,19699.832715643865,18504.15303057331
4,20904.486341588916,19550.52818034354
5,21868.89681641231,20284.51700800314
6,21557.35256922529,20056.428247580265
7,20957.997932995273,19432.771217662917
8,22035.789783756234,20261.36640745167
9,22957.72854667071,20968.79429872186
10,23295.530740847855,21072.48493038132
11,23367.02786505026,21150.269195780907
12,25655.77498407308,22925.979849118383
13,26476.290047606304,23502.866760195877
14,25973.527488423297,23126.39484353474
15,26903.180191724397,23879.242122676387
16,27267.54749169607,24197.803323426604
17,27050.782148236893,23640.869762382365
18,26515.40087870984,23400.02965892242
19,23989.163238652774,21570.90042761279
20,24359.285965903488,21781.040898378164
21,24136.856840970504,20929.890258108175
22,23422.164326630827,21218.37942521443
23,21958.925501932994,20274.837910240898
24,21583.58930845121,19980.70955179961
25,20198.99870790269,18953.511121971365
26,19161.948960897873,18086.32317374841
27,18095.626900932682,17199.29344430597
28,17644.221505425572,16941.194627150202
29,16955.702563425897,16341.655134658193
30,16014.281438639955,15309.004688485778
31,16565.48999350202,15782.160536103587
32,16870.76733791274,16027.89839249564
33,17110.748595837224,16280.443762670267
34,17401.764072452024,16538.658119465446
35,19451.872140144817,18264.653276349287
36,23290.097019001463,21498.805899419396
37,24500.446203962063,22370.964343188956
38,25423.065179197267,22790.84786968339
39,26037.889406407317,23178.121487566863
40,26567.673682407563,23233.730803172264
41,26886.568592847787,23526.464463553115
42,27115.93189906518,23789.41869189619
43,27217.20913801461,23932.93223760301
44,27561.73760787636,24114.992293520427
45,27552.471658971233,24244.967844175135
46,27225.814250262545,24155.990230668038
47,27136.1074228737,23796.746565853162
48,26876.691854105997,23355.47428818878
49,26356.157505664378,22865.012738317506
50,25598.855649802277,22156.02847914237
51,24911.24129574614,21702.388863112472
52,23575.868763042483,21040.280322305854
53,22646.80603588716,20538.099028244404
54,21852.507699802074,20108.620689968848
55,20962.324363709275,19549.528666432914
56,20134.958625543888,18827.457129028266
57,19433.427591208852,18298.70128058189
58,18539.27961704274,17867.0666197284
59,17990.693871101463,17298.008486506493
60,17471.523718653792,16544.107510158603
61,19098.90651668823,17920.14313530773
62,20234.703047032042,18827.130682505795
63,21136.231024784523,19704.730083804217
64,22059.27167754021,20503.219077220194
65,23184.666357278038,21334.157088130785
66,24078.496267277955,22122.120449673093
67,24769.791264272048,22590.491949763298
68,25443.342615847447,22793.70097474521
69,25991.08574264185,23163.87245274255
70,26541.247282142256,23231.91880442799
71,26877.285347817717,23512.805525489275
72,27103.02816315009,23774.603665248535
73,27208.66669420778,23932.770726634564
74,27544.7273399644,24096.723746974734
75,27542.1924224549,24238.59159501201
76,27214.72185949172,24147.5619954035
77,27095.294520365314,23729.580772004807
78,26816.653829631046,23238.366819993895
79,26236.90032487338,22639.126952631945
80,25443.077176422357,21846.86486325743
81,24514.597311555728,21229.393916488803
82,22798.387917962176,20241.41964502757
83,21606.730000346044,19528.38863351987
84,20783.47285330235,19087.999772590512
85,19966.84885228281,18614.49046171888
86,18944.461683757174,17749.824626690603
87,18268.12414473732,17249.3988279459
88,17391.319719885403,16792.930227327306
89,16703.453598935375,16060.149390499244
90,17476.512255924525,16548.262996174864
91,19487.902617984113,18240.31511307116
92,20534.967539984755,19068.05473910913
93,21463.69622180034,19970.186465392595
94,22397.722358870724,20765.188380297655
95,23395.006855822878,21487.003360747687
96,24190.633733963015,22202.811596806565
97,24855.15020281969,22658.608776665955
98,25514.04301715777,22796.72260366362
99,26027.58569746563,23140.79342961011
100,26540.136838677918,23145.192516605926
101,26847.19917963019,23396.21196965527
102,27000.224227334384,23616.21564877625
103,27068.118908642675,23773.869637265296
104,27396.724278952348,23917.233514001535
105,27271.429596464826,23930.25489684956
106,26807.91998570169,23757.307213790486
107,26912.015247233958,23477.533223201222
108,26525.52405033081,22876.828621835506
109,26335.08613179861,22854.29190567935
110,25312.608413491696,21717.811356478276
111,24436.69790608458,21167.638618504367
112,22903.602688080242,20329.511332913855
113,21683.0320785815,19593.21087897428
114,20240.38608092156,18621.138705397127
115,20286.600945266746,18895.543196667146
116,19898.798216207386,18589.52917020545
117,19350.54851708899,18224.260615260424
118,18493.240566255365,17793.586871758904
119,17915.41545067611,17224.593348061466
120,17641.850332991427,16687.317371174144
121,19515.4281810876,18262.680874569294
122,20519.09401183871,19054.995896181914
123,21595.866694153556,20075.727222350783
124,22299.76934901753,20689.768111330504
125,23342.012258704108,21447.923235971277
126,24178.9509383799,22192.852169851503
127,24598.222000201746,22449.996446745445
128,25172.21251143371,22641.264056119257
129,25982.330821837408,23147.311619252087
130,26535.95254900823,23177.214696281997
131,26863.102055948395,23446.30795669209
132,26987.414446649636,23606.192438790007
133,27027.63454508207,23736.145044875557
134,27378.13219633372,23901.057987814063
135,27358.97925168836,24027.81402462291
136,27004.54659723598,23944.124598787344
137,26997.47644590322,23598.40050566928
138,26801.771270909707,23239.626131382218
139,26159.898261481718,22537.461782898212
140,25262.651734386272,21677.903824816633
141,24302.711320929044,21061.407912723847
142,22524.516849407595,20012.344842277143
143,21399.00087622109,19351.895194239994
144,20424.020362403404,18779.019320048355
145,19443.28537588044,18154.16975288202
146,19066.754933591536,17857.41299222545
147,17670.088858093557,16710.450415724732
148,17104.14729456459,16523.78210174137
149,16878.485696969914,16225.806589811611
150,17798.023761430562,16818.389825009603
151,18529.137486000207,17445.380814503413
152,19293.774224517074,18056.20913367285
153,20795.47718866558,19422.452292575752
154,21656.59730023649,20175.436068993495
155,23356.867477409836,21456.987978459776
156,23479.034615657627,21648.352184462317
157,23484.974523586912,21537.534396221512
158,24228.843227205587,21976.316375716397
159,25537.69639263092,22899.061478103155
160,25976.054443400804,22982.022559032655
161,26472.94754128606,23364.29099621835
162,26629.41710484247,23580.971872353006
163,26666.534770924773,23626.14973660273
164,26702.73653318227,23631.38252599509
165,27466.24947595512,24243.445231749734
166,26696.501703045513,23659.667725752097
167,27042.711578034214,23861.79419789727
168,26166.623963896534,23178.67561657385
169,24246.829457441374,21761.00752690982
170,23225.059850604157,20983.49396231664
171,21034.630185658116,19310.36558335898
172,19769.00033463279,18446.58187676893
173,19483.014321095754,18248.904185831743
174,19320.089260254783,18121.470976164568
175,19371.35539243442,18251.73001133842
176,18694.148092388095,17683.633638387186
177,17723.069801242542,16870.79312797692
178,16837.814728142886,16176.113584141885
179,16939.41425598161,16325.699903889516
180,17441.85838035466,16518.959097737414
181,19568.801387782532,18305.97662012263
182,20488.073932118314,19029.543837381276
183,21283.49820089104,19823.136140812254
184,22201.564736808454,20612.30027334283
185,23473.424986017344,21533.161534443076
186,24261.1648216449,22235.236111030434
187,24115.05217488133,22057.51070892437
188,24728.329542791995,22340.305096097363
189,25554.639321220988,22908.378926430236
190,26174.50025630302,23093.607760855502
191,26840.769967706732,23452.41698184627
192,27047.59990511601,23711.441829746243
193,26542.95762672217,23541.93648414677
194,25223.065501943598,22578.188576435456
195,25577.1078708436,22892.821867135484
196,27164.61349067315,24106.68761070741
197,27097.03480944239,23831.905352533748
198,26663.500820687845,23026.380283428483
199,25115.763380237102,21664.685323600515
200,25556.4354101173,22303.024758045463
201,24692.56303811122,21864.08069763127
202,23479.6270042459,20920.298281890282
203,22484.589035749173,20329.39629089324
204,21655.914015677405,19855.9859794189
205,20875.878698970067,19445.686340502238
206,19489.07825839524,18229.074343200275
207,18795.705809973217,17724.706732007537
208,17062.079851627892,16484.27879691067
209,16610.44640307883,15972.122314622007
210,14934.043276472514,14387.675839528401
211,14934.043276472514,14387.675839528401
212,15606.922194958874,14958.345057242544
213,16025.2223235376,15338.01437675301
214,16415.666944537254,15681.23645475728
215,16446.381422242834,15691.542141930237
216,16648.465794655745,15868.997945372923
217,16884.32055081939,16027.90362266477
218,16757.06899451962,15917.910490752169
219,16731.609467884893,15882.923745635528
220,16512.042444605362,15670.536580412207
