,greedy,classic
0,47644.24727229853,47394.20666527427
1,51217.831362604054,50928.26417515984
2,51639.34377794346,51358.332637518906
3,51602.517803226496,51344.16393916735
4,54203.980297817,53919.48185754726
5,56018.62587533241,55684.65447571802
6,55490.85455139258,55065.76160027314
7,54183.84033137958,53665.198255477924
8,56595.390113651956,55866.66968964714
9,58610.85752459887,57561.84447906434
10,59173.13265454989,58099.95291615725
11,59232.229150564235,58258.4563948847
12,63374.66089906918,62231.0545451138
13,64331.11076942375,63323.98433544208
14,63609.86177344516,62479.6558887669
15,64723.696940923925,63532.62789655875
16,63823.16550004055,62469.11202491035
17,62277.75524601178,60303.85783588477
18,63994.27341021925,62032.18352261146
19,60044.38095503945,58768.704521050946
20,60777.59270296162,59448.65793078019
21,57324.6925429751,55628.92561347439
22,59068.66254874934,57889.308352380285
23,56675.142306804104,55865.3137305633
24,55751.88886756177,55056.18467362347
25,53116.7571776317,52558.44522333879
26,50974.92327459398,50508.02117609744
27,48496.1425008676,48110.98805967397
28,47530.68273279623,47350.01158364825
29,46098.608451267784,45903.90334255916
30,43303.2297459809,43096.46145836041
31,44581.06274158478,44356.960952974645
32,45239.70615003832,45015.40543336412
33,45833.346379685805,45608.3211532926
34,46505.28651323832,46271.85760209623
35,50965.38133042452,50678.53957274346
36,58780.27687422255,58340.747842573066
37,60768.51636189833,60029.32250817738
38,61953.82087076813,60896.392668265005
39,62602.77398653133,61234.95083177525
40,63299.15612184689,61936.26526821928
41,63599.319799467725,62480.38499903899
42,63812.52322059421,62709.07653615526
43,63793.99920363117,62853.276780683074
44,64078.21150159829,62823.45908941505
45,63859.71649943395,62575.09100444223
46,63560.65046871149,62205.60613088422
47,63202.041942336255,61275.56196215214
48,62666.09235771275,60351.30475380103
49,61773.421280026814,59804.65763857925
50,60823.15012161704,58872.82710254221
51,59730.6572179325,58049.39591272747
52,58203.3190933228,56854.203630109136
53,56968.57595991668,55958.32767903122
54,55777.085266086855,55041.3075546391
55,54342.016165551446,53714.69359342653
56,52707.97273797821,52154.02137149928
57,51207.78252747407,50695.40506792397
58,49568.76594091338,49578.680508719204
59,48716.210686923216,48451.19220603267
60,46640.22408037256,46399.76783354484
61,50293.087460960625,50011.88272464727
62,52588.175410753705,52296.15503890501
63,54465.16680748615,54229.74623856177
64,56364.45112161448,56105.34552183607
65,58261.28952355531,57954.95154377115
66,59774.60016265883,59411.49485424429
67,60888.97390520916,60142.348935496615
68,61886.941752729195,60823.82761709161
69,62746.45911336771,61381.85593477455
70,63385.15726832601,62018.11789099374
71,63526.66759578818,62413.007057448915
72,63737.70808559546,62639.141303036806
73,63909.5206804548,62961.04560077156
74,63979.69612393721,62725.463948096585
75,63867.87299442466,62583.919095580466
76,63546.80765372856,62193.03596600833
77,62827.42775002894,60883.51782089899
78,62107.218487077655,59739.79683283917
79,60787.05314584746,58742.442437151294
80,59684.42666986868,57606.01464116768
81,58148.32573245439,56411.6547385804
82,55830.097712281255,54486.32824002809
83,54021.849538041366,53065.21668356305
84,52757.86986756123,52069.99236736183
85,51566.73907356294,51013.76678648382
86,49701.69606328099,49209.42002157293
87,48356.85919053006,47912.82095574364
88,46712.52329770417,46737.218402154176
89,45350.26852076473,45120.15867602316
90,46651.19901636387,46410.63755002534
91,51128.18415405062,50839.49709968099
92,53171.07381699288,52874.86378254654
93,55020.745878804184,54804.23728734218
94,56851.2587200285,56614.95794702436
