,greedy,classic
0,12967.304496175515,12307.331240095755
1,14369.722274634252,13373.424246186325
2,14569.211897644554,13500.716231521956
3,14372.003903843843,13549.119321678429
4,15376.425769098883,14354.49848078227
5,16016.536703220056,14918.748531386304
6,15780.741392818605,14755.082681370532
7,15288.864265719689,14231.646097439709
8,16053.94073288564,14825.776319943558
9,16835.78558979215,15349.885118250064
10,17124.900809736002,15395.232953122277
11,17126.75675676711,15445.397387166318
12,18995.923128830036,16802.835747129415
13,19494.77561878217,17246.125454207733
14,19113.171553497814,16969.86310398247
15,19775.969274245243,17519.074715802995
16,20271.304252775262,17949.64356954754
17,20525.79446519521,17615.02391668
18,19690.01273529071,17270.94895317227
19,17533.759048491476,15811.858945853166
20,17823.501298653166,16036.815735321383
21,17510.621715039015,15554.2447365615
22,16996.347592802886,15618.905389767
23,15820.332093303545,14861.77907517224
24,15452.859803291025,14646.763767668395
25,14453.813645249902,13846.363755317338
26,13776.713266182187,13165.079595195837
27,12965.049567304664,12501.266084600167
28,12656.166884795339,12318.224889733512
29,12125.279712567422,11831.901713032416
30,11418.505949618062,11079.50246737086
31,11867.554647203684,11442.781995597821
32,12120.090552648464,11630.83319624614
33,12277.989929103162,11830.854473305306
34,12509.0954229078,12030.232149060614
35,14060.722297961058,13356.254751417244
36,17228.006676615983,15885.8253609714
37,18407.589433745004,16542.813039699337
38,18955.660290337208,16828.821363275878
39,19558.639408199742,17145.55546211726
40,20042.599260093433,17122.89783778683
41,20227.939489291708,17329.492129756905
42,20375.73202502999,17535.383284260115
43,20262.880381014616,17654.8391494071
44,20640.040545484982,17847.56047087804
45,20417.38084063614,17922.663753712775
46,20253.785829469754,17930.29315013106
47,20498.519270869983,17685.663381931023
48,20168.013555724527,17363.514450834486
49,19712.6011081344,17019.129744276448
50,18928.682158197556,16470.80448150092
51,18106.646217562873,16103.930335660363
52,17036.29542992024,15532.331581340672
53,16217.111634274675,15113.606808939978
54,15573.237160941075,14776.035975752957
55,14907.42181679785,14336.547430178052
56,14360.917851199167,13776.559847786973
57,13819.900712529146,13380.591047128595
58,13299.748877126773,13051.957114258808
59,12953.03395189844,12542.116353783349
60,12596.959356150388,12019.851277713791
61,13986.98269153707,13093.306830970845
62,14992.8649462599,13795.628527689028
63,15594.754138590723,14488.079825666173
64,16395.555467866674,15097.861772165184
65,17160.799873156622,15743.892427572355
66,17946.576390315815,16386.455013599745
67,18711.006537128902,16730.554845908326
68,18982.583231052533,16833.567554131816
69,19495.148439346794,17128.072953666535
70,20009.90110522897,17116.75876973201
71,20225.212419810665,17320.885207764455
72,20370.117682747266,17525.70145852939
73,20240.35662837783,17648.95288217649
74,20633.55585413618,17836.554238387875
75,20407.608404351395,17916.309484529855
76,20244.523437795593,17923.31792158535
77,20503.449363115396,17653.111677087112
78,20158.232140922646,17301.269602702276
79,19687.71690745932,16896.17288710646
80,18831.256238512513,16275.998485179589
81,17796.724277677888,15782.325236790552
82,16394.065692452477,14948.016559718493
83,15361.326481785904,14364.54543950429
84,14692.524271637216,14024.448378807869
85,14083.810260597122,13649.432387011271
86,13405.082010060487,12979.387343920385
87,12925.945683462116,12590.55299086074
88,12409.038726683504,12238.116163837449
89,11954.670475743927,11624.848671124166
90,12601.21773297468,12023.050209710453
91,14336.058591900455,13347.376658413788
92,15277.540303218944,13984.706857946852
93,15893.143808921453,14699.040581492909
94,16722.056349161714,15306.684663744876
95,17378.101859481652,15867.589745753556
96,18064.99036720327,16455.544103811808
97,18841.970416548753,16797.297872972584
98,19083.014220612255,16845.541903941023
99,19578.856723802495,17123.175410508702
100,20064.13344440771,17072.202527709152
101,20279.26283877362,17259.98611190941
102,20390.56110892255,17431.8873627312
103,20228.9298785696,17568.018684249753
104,20610.67986595581,17738.91230449935
105,20284.71361513006,17752.100609188186
106,20038.6416669049,17714.516800456073
107,20470.16444817255,17519.735521926614
108,20000.27859868628,17077.228277926337
109,19693.171182518243,17008.695274605794
110,18733.330942933604,16183.07420850316
111,17737.720372829586,15735.29431015794
112,16475.05274222042,15015.10291541403
113,15419.659637121693,14413.886498762706
114,14284.656563633716,13668.586629171368
115,14322.95277580376,13863.116656057668
116,14137.603271112333,13610.732010932443
117,13756.305591425926,13324.570891888161
118,13279.780904763262,12985.851369347769
119,12894.988458439486,12487.545333137994
120,12737.913168036004,12129.422974081252
121,14361.885235872678,13365.485559771327
122,15263.545993460775,13974.573986068437
123,16019.941967400333,14783.939421023411
124,16627.006527271024,15246.390399550894
125,17324.476996136116,15836.104293384431
126,18055.736885333004,16447.83991217301
127,18520.244868909547,16610.924440021667
128,18715.104384564944,16703.123634301053
129,19499.616843381318,17118.368387064173
130,20038.861913011573,17088.45023005891
131,20256.614220240066,17285.723971351807
132,20380.618781167683,17424.332113963505
133,20207.274692824183,17544.217297134077
134,20598.724968715054,17727.723647397313
135,20327.211078247557,17805.62918393544
136,20142.23445748786,17819.921155827178
137,20484.33066253904,17582.984479340437
138,20139.75919823502,17297.289113548515
139,19648.73825401395,16833.90433045777
140,18694.69011348283,16152.625202087776
141,17636.236905998758,15654.395389790332
142,16183.51807049962,14773.578211576121
143,15202.52751417712,14230.211382263895
144,14422.56271602481,13788.919836380779
145,13691.441266238013,13299.521439713064
146,13498.893425922151,13060.266899340293
147,12467.340578041152,12184.886676785354
148,12186.323214050373,12034.606745210276
149,12091.890393926205,11747.560035481918
150,12867.861973088304,12229.824624998702
151,13494.595022534124,12721.555617347873
152,14152.249103033544,13194.26485627031
153,15297.913647768775,14266.069777096582
154,16034.268105837858,14841.449984324052
155,17343.359818318597,15843.89826560054
156,17395.187532396023,16005.104419774374
157,17448.05682488228,15874.250021306543
158,17873.783960137695,16170.47907002216
159,19034.992386906157,16887.173173299165
160,19418.695446479083,16882.48153474404
161,19795.406458757654,17167.300689590527
162,19859.614498639916,17327.518423043242
163,19665.14786205859,17350.54509217861
164,19732.35730833021,17377.305375590895
165,20292.63112026094,17867.384237609618
166,19966.493121684165,17650.319616670557
167,20270.638842303673,17659.429071693216
168,19368.436750821114,17074.240538045266
169,17746.303925847304,15963.068503110362
170,16917.13544417395,15394.645959902471
171,15134.536146270171,14093.637489982648
172,14218.871223306902,13444.213121048457
173,13963.626513442354,13291.89098744672
174,13829.718301474899,13196.964112826421
175,13868.732470942385,13304.207689203926
176,13433.402460249583,12857.929040823677
177,12686.69208788897,12251.542477862306
178,12036.93797350011,11734.594233407837
179,12112.947055420927,11820.071762052792
180,12573.053784363337,12000.71328817613
181,14412.215610823976,13400.616388167213
182,15235.975914425468,13954.801016211124
183,15730.78527490842,14582.50446638682
184,16534.913398679542,15184.951883600559
185,17484.109155402573,15908.050769671923
186,18177.422264967106,16493.732340502702
187,18035.17852732525,16289.491493034768
188,18310.83229846476,16460.075266967076
189,19052.03412242961,16896.18222816982
190,19613.78116980222,16977.897804155175
191,20220.823885405534,17283.98789918976
192,20350.220581122092,17484.62323154045
193,19557.53389050251,17281.276240628908
194,18505.401876793887,16542.37460868882
195,18690.67593336119,16731.736076142846
196,20207.46263104341,17893.705079769243
197,20397.117782294394,17677.246108355026
198,20086.67141138092,17175.172809802454
199,18862.48895443253,16189.146166188406
200,18874.826948758637,16544.63023871273
201,17943.838713330722,16147.117734268779
202,16952.023284955925,15447.38557639475
203,16057.405592410458,14965.764166412851
204,15363.19327331051,14604.983689170132
205,14801.20334845635,14270.709895228907
206,13823.058233520265,13339.692798757194
207,13330.620177916433,12948.409475074404
208,12153.701476757991,12004.79770299388
209,11881.764006486941,11559.644585583872
210,10563.103780919584,10380.981301938215
211,10563.103780919584,10380.981301938215
212,11101.01260494012,10815.149951762343
213,11419.678365904596,11108.016720127254
214,11728.293589415805,11371.881806604786
215,11723.311090384466,11379.710476283622
216,11893.318267063914,11517.627754286794
217,12071.557958484402,11626.056928301647
218,11953.819591098667,11531.208507953386
219,11944.52271112575,11499.589492299598
220,11776.430848814465,11336.040458572312
221,11814.551308051963,11373.639608878295
222,11719.760879356067,11308.708186698334
223,11841.85922226862,11416.483109559245
224,12063.026779273794,11587.955451901675
225,11925.979645514399,11473.214913657843
226,12049.643742933735,11581.57346483841
227,12014.27928377413,11541.505656449797
228,11991.78032343787,11521.520623813187
229,12164.657833007823,11668.030516639463
230,12105.872438734566,11626.973008378485
231,12175.200547656537,11702.543703343907
232,12013.510920568508,11604.047166847855
233,11976.043252469737,11593.798912550954
234,11881.347583396286,11516.762770698084
235,11663.604431315822,11346.900056944209
236,11512.185113520058,11197.014494142044
237,11283.43224435634,11014.371711154727
238,11219.807507822256,10981.451923569924
239,11173.615481174626,10953.067533666255
240,10563.103780919584,10380.981301938215
241,10563.103780919584,10380.981301938215
242,11084.449539392543,10801.808193028977
243,11194.299295502651,10917.129881561648
244,11221.623842478659,10941.840095965796
245,11298.287291263725,11014.594365881141
246,11421.7727332141,11115.31254580314
247,11600.322193276897,11238.019209494774
248,11787.589104832812,11394.18141328292
249,11912.45885476745,11473.700082799882
250,12078.931517352068,11573.21052876736
251,12275.296189027615,11737.410622971835
252,12510.781618889454,11940.02283756715
